"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Ensembl"	"GeneCards"
AT3G53320				AT3G53320-MONOMER		
G-9553				MONOMER-12419		
G-10476				MONOMER-13718		
G-1282				MONOMER-1862		
G-399				PGKSYN-MONOMER		
G-14896				MONOMER-17093		
G-10042				MONOMER-13199		
G185E-7209	"Rv2955c"			G185E-7209-MONOMER		
G-44032				MONOMER-19322		
G-10958				MONOMER-14368		
HS02779		18658431	18673341	ENSG00000105647-MONOMER		
G-11426				MONOMER-14978		
G-15316	"Bpet1371"			MONOMER-17597		
G-44436	"CT1423"			MONOMER-19732		
G-16086				MONOMER-18093		
HS07647		30386996	30404259	HS07647-MONOMER		
G-5241				MONOMER-6761		
G-11933				MONOMER-15558		
YML054C				YML054C-MONOMER		
G-17974				MONOMER-18499		
G-12364				MONOMER-16059		
G-8441				MONOMER-10868		
G-27200				MONOMER-18727		
AT1G06820				AT1G06820-MONOMER		
AT3G45070				AT3G45070-MONOMER		
G-9535				MONOMER-12383		
G-10454		4716040	4716663	MONOMER-13694		
G-12796				MONOMER-16540		
G-383				ACKMSARC-MONOMER		
G-14880				MONOMER-17077		
G-10022		44298298	44310673	MONOMER-13176		
G185E-6493	"MT2335"			G185E-6493-MONOMER		
G-44016				MONOMER-19306		
G-10940				MONOMER-3101		
G-11405		1515886	1516644	MONOMER-14956		
G-15300	"PA5174"			MONOMER-17580		
G-44420				MONOMER-19716		
G-16069		2933794	2934696	MONOMER-18075		
G-5162				MONOMER-6682		
G-11917				MONOMER-15544		
YKL008C	"YKL008C"			MONOMER3O-373		
G-17955				MONOMER-18469		
G-12348	"DVU_1289"			MONOMER-16043		
G-8202				MONOMER-10603		
G-27184	"Tthe_1921"			MONOMER-18710		
AT1G01280				AT1G01280-MONOMER		
AT3G25585		9296546	9299895	AT3G25585-MONOMER		
G-9516				MONOMER-12326		
G-10430				MONOMER-13674		
G-12779				MONOMER-16519		
G-3769	"TM0208"			MONOMER-4887		
G-14864	"SACE_0728"			MONOMER-17061		
G-10000				MONOMER-13147		
G185E-5659	"Rv1475c"	1663215	1666046	G185E-5659-MONOMER		
G-44000	"HVO_1526"			MONOMER-19289		
G-10923		45157435	45251528	MONOMER-14329		
G-11389				MONOMER-14939		
G-15284				ALPHALAC-MONOMER		
G-44406				MONOMER-19702		
G-16048				MONOMER-18053		
G-504				MONOMER-121		
G-11896	"At1g02390"			MONOMER-2021		
YGR255C	YGR255C			YGR255C-MONOMER		
G-17933				MONOMER-18444		
G-12326	"AF0263"			MONOMER-16017		
G-7961				MONOMER-10584		
G-27167				MONOMER-18693		
AT3G21240				AT3G21240-MONOMER		
G-9489				MONOMER-12275		
G-10402				MONOMER-13646		
G-12763				MONOMER-16499		
G-367				NIFKKLEB-MONOMER		
G-14846				MONOMER-17039		
CISZOG2				CISZOG2-MONOMER		
G185E-5349	"Rv1180"			G185E-5349-MONOMER		
G-43984				MONOMER-19273		
G-10901				MONOMER-14271		
HS02045		26975247	27119917	HS02045-MONOMER		
G-11373				MONOMER-14923		
G-15262	"NE2336"			MONOMER-17538		
G-44388				MONOMER-19684		
G-16026		1436114	1437061	MONOMER-18032		
HS07103		222564148	222669944	HS07103-MONOMER		
G-489				MONOMER-114		
G-11876				MONOMER-15495		
YFR030W	YFR030W			MONOMER3O-21		
G-17917	"STM4458"			MONOMER-18420		
G-12306				MONOMER-15996		
G-7301				MONOMER-9621		
G-27148				MONOMER-18675		
G-9461				MONOMER-12236		
G-12745	"Cthe_0433"			MONOMER-16478		
G-354				MTDMAUTO-MONOMER		
G-14830				MONOMER-17014		
AT3G16480	"at3g16480"			AT3G16480-MONOMER		
ATMG00665				ATMG00513-MONOMER		
G185E-4233	"Rv0116c"			G185E-4233-MONOMER		
G-43968				MONOMER-17711		
G-10885				MONOMER-14254		
G-15244				MONOMER-17505		
G-10399				MONOMER-13643		
G-44371				MONOMER-19669		
G-16009				MONOMER-18017		
G-44762				MONOMER-20073		
G-11856				MONOMER-15473		
YDR284C	YDR284C			YDR284C-MONOMER		
G-17901				MONOMER-18404		
G-12291				MONOMER-15981		
G-7001		68782708	68867101	MONOMER-9225		
G-27131				MONOMER-18656		
G-9445				MONOMER-12215		
G-12729				MONOMER-16462		
G-34643				MONOMER-18935		
G-14813				MONOMER-16995		
AT3G12260				AT3G12260-MONOMER		
AT5G67030				AT5G67030-MONOMER		
G-9971				MONOMER-13091		
G-43952				MONOMER-19240		
G-10866				MONOMER-14231		
G-15224				MONOMER-17464		
G-10382				MONOMER-13617		
G-44338				MONOMER-19636		
G-15995				MONOMER-18006		
G-11330				MONOMER-14864		
G-44746				MONOMER-20046		
G-11840				MONOMER-15456		
YBR061C	"YBR061C"	364785	365717	YBR061C-MONOMER		
G-17884				MONOMER-18385		
G-670				MONOMER-1098		
G-269				TSADCOTE-MONOMER		
G-12272				MONOMER-15963		
G-9424				MONOMER-12185		
G-12713				MONOMER-16444		
G-34627				MONOMER-18918		
G-14792				MONOMER-16974		
AT3G07020				AT3G07020-MONOMER		
AT5G60600				AT5G60600-MONOMER		
G-9951				MONOMER-13069		
G-43935				MONOMER-19220		
G-10847				MONOMER-14202		
HS01304		33975040	34005703	HS01304-MONOMER		
G-15207				MONOMER-17436		
G-10361				MONOMER-13590		
G-44316				MONOMER-19614		
G-15977				MONOMER-17983		
G-11307				MONOMER-14810		
G-44730	"spr0314"			MONOMER-20030		
G-11812				MONOMER-15424		
SYNPCC7942_1088				SYNPCC7942_1088-MONOMER		
G-17868				MONOMER-18369		
G-652				MONOMER-1075		
G-2549				MONOMER-3469		
G-12256		3792290	3793060	MONOMER-15945		
G-9399				MONOMER-12151		
G-12689	"Cthe_0543"			MONOMER-16419		
G-34611	"VEJY3_09240"			MONOMER-18902		
AT3G01910				AT3G01910-MONOMER		
AT5G54770				AT5G54770-MONOMER		
G-9934				MONOMER-13044		
G-43919	"PA3550"			MONOMER-19200		
G-10817				MONOMER-14154		
G-14772				MONOMER-16952		
G-15192	"GLL2831"			MONOMER-17417		
G-10345				MONOMER-13574		
G-44298				MONOMER-19596		
G-15960				MONOMER-17967		
G-11267				MONOMER-14764		
G-44714				MONOMER-20014		
G-11795				MONOMER-15400		
REUT_A1589				REUT_A1589-MONOMER		
G-17849				MONOMER-18349		
G-6303				MONOMER-8323		
G-2482				MONOMER-3402		
G-12238				MONOMER-15921		
G-9347				MONOMER-12074		
G-12669				MONOMER-16386		
G-34586				MONOMER-18878		
AT2G44160		18269286	18272422	AT2G44160-MONOMER		
AT5G49190	"AT5G49190.1"	19960508	19964415	AT5G49190-MONOMER		
G-9916				MONOMER-13015		
G-43902				MONOMER-19182		
G-10799				MONOMER-14129		
G-14756				MONOMER-16937		
G-15172		2001366	2002172	MONOMER-17393		
G-10329				MONOMER-13558		
G-44282				MONOMER-19580		
G-11247				MONOMER-14738		
HS06046		65075756	65119060	MONOMER-15795 // MONOMER-15794 // HS06046-MONOMER		
G-44697	"BSUW23_17485"			MONOMER-19997		
G-11776	"PA3862"			MONOMER-15372		
HS11697				MONOMER-12007		
G-15945	"TM_0440"			MONOMER-17952		
G-17832				MONOMER-18331		
G-6022				MONOMER-7709		
G-12222				MONOMER-6902		
G-9311				MONOMER-12019		
G-12653				MONOMER-16383		
G-34564				MONOMER-18856		
AT2G38080				AT2G38080-MONOMER		
AT5G43600	"At5g43600"			AT5G43600-MONOMER		
G-9898				MONOMER-12935		
G-43886				MONOMER-19161		
G-10777	"Sb04g029900"			MONOMER-14102		
G-14736				MONOMER-16917		
G-15156				MONOMER-17377		
G-10304				MONOMER-13534		
G-44265				MONOMER-19563		
G-11226				MONOMER-14667		
HS05783		82618442	82646736	HS05783-MONOMER		
G-44681				MONOMER-19981		
G-11749				MONOMER-15346		
G-15926	"SSO3195"			MONOMER-17931		
G-17816	"Saci_0756"			MONOMER-18315		
G-5702				MONOMER-7461		
G-12202				MONOMER-15883		
G-9269				MONOMER-11954		
G-232				MONOMER-343		
G-12634				MONOMER-16365		
G-34548				MONOMER-18840		
AT2G34490				AT2G34490-MONOMER		
AT5G37300				AT5G37300-MONOMER		
G-9872		1259399	1260325	MONOMER-12877		
G-10757				MONOMER-14082		
G-14703				MONOMER-16879		
G-43872				MONOMER-19144		
G-15139				MONOMER-17360		
G-10283				MONOMER-13506		
G-44249				MONOMER-19547		
G-11203				MONOMER-14640		
G-44665	"BSUW23_17580"			MONOMER-19965		
G-11725	"PA2399"			MONOMER-15313		
HS10846				HS10846-MONOMER		
G-15553				MONOMER-17921		
G-17797	"IbF6H2-1-1"			MONOMER-18295		
G-55166				MONOMER-20280		
G-12187				MONOMER-15865		
G-9238				MONOMER-11901		
G-228				MONOMER-427		
G-12610				MONOMER-16341		
G-34532	"YBR246W"			MONOMER-18824		
AT2G28190				AT2G28190-MONOMER		
AT5G24400				AT5G24400-MONOMER		
G-9838				MONOMER-12834		
G-10739				MONOMER-14052		
HS00347		83935347	83959654	HS00347-MONOMER		
G-14674				MONOMER-16849		
G-43856				MONOMER-19123		
G-15119		1061209	1062138	MONOMER-17334		
G-10260				MONOMER-13473		
G-44228				MONOMER-19523		
G-11181				MONOMER-14615		
G-11709	"YPO1910"			MONOMER-15297		
G-15533				MONOMER-17892		
G-44646				MONOMER-19947		
G-17777	"Z4489"			MONOMER-18273		
G-55146				MONOMER-20260		
G-12169				MONOMER-15843		
G-222				MONOMER-401		
G-12591				MONOMER-16323		
G-34515				MONOMER-18807		
AT2G24210				AT2G24210-MONOMER		
AT5G17520				AT5G17520-MONOMER		
G-9817				MONOMER-12807		
G-10720				MONOMER-14032		
G-14656				MONOMER-16830		
G-43840				MONOMER-19107		
G-15092	"PMT_1231"			MONOMER-17306		
G-10243				MONOMER-13456		
G-44211				MONOMER-19507		
G-11165	"MJ0671"			MONOMER-14596		
G-11670				MONOMER-15243		
HS10326		160022476	160058859	HS10326-MONOMER		
G-15516	"Rru_A0361"			MONOMER-17874		
G-44630	"SRIM_10861"			MONOMER-19931		
G-17761				MONOMER-18256		
G-55128	"HVO_1864"			MONOMER-20242		
G-12148				MONOMER-15823		
G-210				MONOMER-504		
G-12564				MONOMER-16283		
G-9189				MONOMER-11826		
G-34498	"Spro_2569"			MONOMER-18790		
AT2G19570	AT2G19570			AT2G19570-MONOMER		
AT5G13640				AT5G13640-MONOMER		
G-9793				MONOMER-12780		
G-10697				MONOMER-14005		
G-14634				MONOMER-16805		
G-43821				MONOMER-19089		
G-15076	"Caur_1378"			MONOMER-17289		
G-10226				MONOMER-13434		
G-44195				MONOMER-19491		
G-11147				MONOMER-14576		
G-11634				MONOMER-15203		
G-15497	"Dde_3282"			MONOMER-17850 // MONOMER-17848		
G-44612				MONOMER-19910		
G-17742	"HP_0152"			MONOMER-18233		
G-55110	"PA5198"			MONOMER-20218		
G-12129				MONOMER-15788		
G-202	"MPN_628"			MONOMER-550		
G-12547	"rrnAC0685"			MONOMER-16254		
G-9166				MONOMER-11802		
G-34481				MONOMER-18772		
AT2G03220	"At2g03220"			AT2G03220-MONOMER		
AT5G07440				AT5G07440-MONOMER		
G-9773				MONOMER-12752		
G-10670				MONOMER-13975		
G-14618		1552919	1555279	MONOMER-16777		
G-43800				MONOMER-19058		
G-15059				MONOMER-17273		
G-10201				MONOMER-13408		
GIO2-44	"Cre03.g165700.t1.2"			GIO2-44-MONOMER		
G-44179				MONOMER-19470		
G-11129				MONOMER-14558		
G-11595				MONOMER-15156		
G-15481				MONOMER-17819		
G-44596	"MSMEG_6788"			MONOMER-19893		
G-17720				MONOMER-18210		
HS09820		41672544	41678896	HS09820-MONOMER		
G-55089				MONOMER-20197		
G-12101				MONOMER-8741		
G-196				MONOMER-544		
G-12531				MONOMER-16237		
G-9126				MONOMER-11743		
G-338				MRTGMAUTO-MONOMER		
AT1G78970				AT1G78970-MONOMER		
AT5G04140				AT5G04140-MONOMER		
G-9745				MONOMER-12699		
G-10654				MONOMER-13953		
G-14597				MONOMER-16749		
G-43784				MONOMER-19042		
G-15043		2119633	2120307	MONOMER-17257		
G-10180				MONOMER-13382		
G66-37871				MONOMER66-34371		
G-44162	"PA4019"			MONOMER-19454		
G-11112				MONOMER-14541		
G-11579				MONOMER-15140		
G-15464				MONOMER-17791		
G-44580	"PA0997"			MONOMER-19872		
G-17704				MONOMER-18194		
HS09566		89686927	89698097	ENSG00000167508-MONOMER		
G-55068	"SO_0483"			MONOMER-20178		
G-12085				MONOMER-15729		
G-186				MONOMER-534		
G-12510				MONOMER-16215		
G-91	"CA_C3299"			BDHACLOS-MONOMER		
G-3282				MONOMER-4224		
AT1G75330				AT1G75330-MONOMER		
AT4G35630				AT4G35630-MONOMER		
G-9722				MONOMER-12661		
G-10627				MONOMER-13925		
G-14574				MONOMER-16717		
G-43767				MONOMER-19026		
G-15026				MONOMER-17239		
G-10162				MONOMER-13360		
G3O-33268				G3O-33268-MONOMER		
G-44146				MONOMER-19438		
G-11097		82983931	83002638	MONOMER-14527		
G-11562				MONOMER-15126		
G-15446				MONOMER-17772		
G-44563				MONOMER-19854		
G-17688				MONOMER-18177		
G-55049	"MA_2868"			MONOMER-20159		
G-12069	"CC_1634"			MONOMER-15712		
G-18089				MONOMER-18624		
G-12490	"STM2082"			MONOMER-16196		
G-9084				MONOMER-11676		
G-3201				MONOMER-4161		
AT1G69370				AT1G69370-MONOMER		
AT4G32180				AT4G32180-MONOMER		
G-9706				MONOMER-12644		
G-10605	"slr0492"			MONOMER-13898		
G-14546	"PYRAB04300"			MONOMER-16690		
G-43751				MONOMER-19012		
G-15011				MONOMER-17224		
G-10146				MONOMER-13333		
G3O-31085	"YHR024C"			G3O-31085-MONOMER		
G-44130				MONOMER-19423		
G-11069				MONOMER-14495		
G-11545				MONOMER-15110		
G-15431				MONOMER-17757		
G-44545	"SZ00_06094"			MONOMER-19833		
G-17671				MONOMER-18164		
G-55033	"ECs4385"			MONOMER-20141		
G-12053				MONOMER-15694		
G-18073				MONOMER-18608		
G-12468				MONOMER-16167		
G-9057				MONOMER-11641		
G-313				HOXFALCA-MONOMER		
AT1G65840				AT1G65840-MONOMER		
AT4G26850				AT4G26850-MONOMER		
G-9677				MONOMER-12608		
G-10583				MONOMER-13869		
G-14515				MONOMER-16657		
G-43734	"SYNW2021"			MONOMER-18995		
G-14995				MONOMER-17203		
G-10127				MONOMER-13293		
G18NG-9817	"Cgl0262"			G18NG-9817-MONOMER		
G-44114	"RSP_2144"			MONOMER-19407		
G-11042		147311584	147320233	MONOMER-14466		
G-11523				MONOMER-15089		
G-15417	"lpg0752"			MONOMER-17729		
G-44525				MONOMER-19817		
G-17657				MONOMER-18150		
G-55015				MONOMER-12001		
G-12033				MONOMER-15664		
G-18057				MONOMER-18592		
G-12443	"Pmob_0071"			MONOMER-16142		
G-9037				MONOMER-11608		
G-301				BIOBBACSU-MONOMER		
AT1G58290		21070144	21072167	AT1G58290-MONOMER		
AT4G20070				AT4G20070-MONOMER		
G-9653				MONOMER-12576		
G-10561				MONOMER-13846		
G-14499				MONOMER-16641		
G-43716	"alr0527"			MONOMER-18977		
G-14979				MONOMER-17187		
G-10108				MONOMER-13273		
G18NG-10215	"cg0755"	667918	669231	G18NG-10215-MONOMER		
G-44098	"TSTA_117730"			MONOMER-19389		
G-11021				MONOMER-14445		
G-11503				MONOMER-15062		
G-15399				MONOMER-17701		
G-44505				MONOMER-19801		
G-17642				MONOMER-18135		
HS08528		151019336	151031087	ENSG00000160752-MONOMER		
G-550				MONOMER-893		
G-12014				MONOMER-15645		
G-18039				MONOMER-18572		
G-12426				MONOMER-16117		
G-9017				MONOMER-11574		
G-2968				MONOMER-3908		
AT1G48140				AT1G48140-MONOMER		
AT4G15340				AT4G15340-MONOMER		
G-9628				MONOMER-12529		
G-10539				MONOMER-13813		
G-14473	"PYRAB16240"			MONOMER-16615		
G-43699				MONOMER-18953		
G-14960				MONOMER-17168		
G-10091				MONOMER-13257		
G185E-8089	"Rv3793"			G185E-8089-MONOMER		
G-44080				MONOMER-13326		
G-11007				MONOMER-14421		
G-11485				MONOMER-15045		
G-15371	"SACE_0733"			MONOMER-17659		
G-44484				MONOMER-19780		
G-17627				MONOMER-7726		
HS08338		156891805	156901105	MONOMER-15873 // ENSG00000158859-MONOMER		
G-54984	"KPN_01788"			MONOMER-20098		
G-11997				MONOMER-15627		
G-44481				MONOMER-19777		
G-17623				MONOMER-18113		
G-54981				MONOMER-20095		
G-11994		132209	133543	MONOMER-15624		
G-18019				MONOMER-18546		
G-12408				MONOMER-16102		
G-8986				MONOMER-11527		
G-284				AROEBACSU-MONOMER		
AT1G23740				AT1G23740-MONOMER		
AT4G03060				AT4G03060-MONOMER		
G-9595				MONOMER-12496		
G-10514				MONOMER-13783		
G-1382				MONOMER-2002		
G-428				PSBJ-MONOMER		
G-14941				MONOMER-17144		
G-10072				MONOMER-13232		
G185E-7820	"Rv3543c"			G185E-7820-MONOMER		
G-44061	"SO_4676"			MONOMER-19351		
G-10988				MONOMER-14402		
G-11463				MONOMER-15019		
G-15348				MONOMER-17633		
G-44465				MONOMER-19761		
G-1725				MONOMER-2425		
G-54963				MONOMER-20078		
G-11967				MONOMER-15596		
YPL231W		108652		YPL231W-MONOMER		
G-18004	"Alvin_2446"			MONOMER-18531		
G-12393				MONOMER-16087		
G-8826				MONOMER-11351		
G-27227				MONOMER-18759		
AT1G17050	"At1g17050"	5829092	5831326	AT1G17050-MONOMER		
AT3G59760				AT3G59760-MONOMER		
G-9569				MONOMER-12459		
G-10494				MONOMER-13754		
G-130	"HELO_2589"			MONOMER-801		
G-412				PSAE-MONOMER		
G-14912	"lmo0931"			MONOMER-17111		
G-10055				MONOMER-13214		
G185E-7653	"Rv3377c"			G185E-7653-MONOMER		
G-44045				MONOMER-19335		
G-10971				MONOMER-14383		
HS02982		63177168	63480643	HS02982-MONOMER		
G-11441		17678536	17747006	MONOMER-14994		
G-15329				MONOMER-17610		
G-44449				MONOMER-19745		
G-165				MONOMER-583		
HS07761		189911085	189938979	HS07761-MONOMER		
G-535				MONOMER-668		
G-11947				MONOMER-15571		
YMR303C		873291	874337	YMR303C-MONOMER		
G-17990				MONOMER-18517		
G-12377		4590927	4591742	MONOMER-16071		
G-8664				MONOMER-11146		
G-27212				MONOMER-18740		
AT1G10830				AT1G10830-MONOMER		
AT3G52180				AT3G52180-MONOMER		
G-9550				SOXYDENIT-MONOMER		
G-10472				MONOMER-13712		
G-12810				MONOMER-16564		
G-394				RPESYN-MONOMER		
G-14893	"SACE_0716"			MONOMER-17090		
G-10039				MONOMER-13194		
G185E-7206	"Rv2952"			G185E-7206-MONOMER		
G-44029				MONOMER-19319		
G-10955				MONOMER-14364		
G-11423				MONOMER-14975		
G-15313				MONOMER-17594		
G-44433				MONOMER-19729		
G-16083				MONOMER-18090		
G-5223				MONOMER-6743		
G-11930				MONOMER-15555		
YLR438W				YLR438W-MONOMER		
G-17971				MONOMER-18489		
G-12361				MONOMER-16056		
G-84				NIFFKOX-MONOMER // NIFFKRED-MONOMER		
G-27198				MONOMER-18725		
AT1G05560				AT1G05560-MONOMER		
AT3G44320				AT3G44320-MONOMER		
G-9532				MONOMER-12364		
G-10448				MONOMER-13687		
G-12793				MONOMER-16536		
G-3802				MONOMER-4923		
G-14877				MONOMER-17074		
G-10016		121204274	121250160	MONOMER-13170		
G185E-6365	"Rv2157c"			G185E-6365-MONOMER		
G-44013				MONOMER-19303		
G-10936				MONOMER-14344		
G-11402				MONOMER-14952		
G-15298				MONOMER-17578		
G-44418				MONOMER-19714		
G-16065		2400889	2403138	MONOMER-18071		
G-515	"Pput_2895"			MONOMER-348		
G-11914	"RA1261"			MONOMER-15541		
YJR137C	YJR137C			MONOMER3O-22		
G-17951				MONOMER-18462		
G-12345				DSRCGIGAS-MONOMER		
G-816				MONOMER-944		
G-27181				MONOMER-18707		
AG8				AG8-MONOMER		
AT3G24503				AT3G24503-MONOMER		
G-9513				MONOMER-12323		
G-10422				MONOMER-13666		
G-12776				MONOMER-16513		
G-376				FMDEMBARK-MONOMER		
G-14861				MONOMER-17058		
ENSG00000096256		11038538	11102097	ENSG00000096256-MONOMER		
G185E-5517	"Rv1338"			G185E-5517-MONOMER		
G-43997	"HVO_1523A"			MONOMER-19286		
G-10920		72924630	72935223	MONOMER-14312		
G-11386				MONOMER-14936		
G-15281				MONOMER-12757		
G-44403				MONOMER-19699		
G-16043	"PH0793"			MONOMER-18048		
G-501				MONOMER-142		
G-11893				MONOMER-15519		
YGR169C	YGR169C			YGR169C-MONOMER		
G-17930				MONOMER-18441		
G-12322	"PP2518"			MONOMER-16013		
G-7924				MONOMER-10582		
G-27164				MONOMER-18690		
G-9478				MONOMER-12258		
G-12760				MONOMER-16494		
G-364				MCRBMSARC-MONOMER		
G-14843				MONOMER-17035		
BSU24530	BSU24530			BSU24530-MONOMER		
G185E-5248	"Rv1086"			G185E-5248-MONOMER		
G-43981				MONOMER-19270		
G-10899				MONOMER-14269		
HS02015		39617252	39645451	HS02015-MONOMER		
G-11370				MONOMER-14918		
G-15257				MONOMER-17535		
G-44385				MONOMER-19682		
G-16023		1374844	1376097	MONOMER-18029		
HS07047		146918298	146969278	HS07047-MONOMER		
G-484				MONOMER-223		
G-11871	"EF_2150"			MONOMER-15490		
YFL017C		103977	104456	YFL017C-MONOMER		
G-17914				MONOMER-18417		
G-12303				MONOMER-15993		
G-7161				MONOMER-9461		
G-27145				MONOMER-18670		
G-9458				MONOMER-12229		
G-12742	"Cthe_2761"			MONOMER-16475		
G-351				FWDBMAUTO-MONOMER		
G-14827				MONOMER-17011		
AT3G16390	"At3g16390"			AT3G16390-MONOMER		
ATMG00510				ATMG00510-MONOMER		
G-9995				MONOMER-13142		
G-43965				MONOMER-17712		
G-10882				MONOMER-14251		
G-15239		4580517	4581260	MONOMER-17495		
G-10396				MONOMER-13640		
G-44368				MONOMER-19666		
G-16006				MONOMER-18014		
G-11343				MONOMER-14884		
G-44759				MONOMER-20066		
G-11853				MONOMER-15470		
YDR074W				YDR074W-MONOMER		
G-17898				MONOMER-18401		
G-12288				MONOMER-15978		
G-6862				MONOMER-8881		
G-27127				MONOMER-18649		
G-9442				MONOMER-12212		
G-12726	"Cthe_0912"			MONOMER-16459		
G-34640				MONOMER-18931		
G-14809	"REQ_06550"			MONOMER-16991		
AT3G11670				AT3G11670-MONOMER		
AT5G66570				AT5G66570-MONOMER		
G-9968				MONOMER-13086		
G-43949				MONOMER-19237		
G-10860				MONOMER-14222		
G-15220	"AFUA_2G17960"			MONOMER-17452		
G-10378				MONOMER-13613		
G-44335				MONOMER-19633		
G-15992				MONOMER-18003		
G-11327				MONOMER-14861		
G-44743				MONOMER-20043		
G-11836	"SAV2262"			MONOMER-15452		
YBR006W	"YBR006W"	247012	248505	YBR006W-MONOMER		
G-17881				MONOMER-18382		
G-668				MONOMER-1096		
G-2681				MONOMER-3641		
G-12269				MONOMER-15960		
G-9420				MONOMER-12181		
G-12704	"Cthe_2811"			MONOMER-16435		
G-34624				MONOMER-18915		
G-14788				MONOMER-16971		
AT3G05970				AT3G05970-MONOMER		
AT5G59290				AT5G59290-MONOMER		
G-9948				MONOMER-13065		
G-43932				MONOMER-19215		
G-10834				MONOMER-14185		
HS01275		39321445	39447672	HS01275-MONOMER		
G-15204				MONOMER-17433		
G-10358				MONOMER-13587		
G-44313				MONOMER-19611		
G-15974				MONOMER-17980		
G-11284				MONOMER-14782		
G-44727	"spr1149"			MONOMER-20027		
G-11808				MONOMER-15416		
SYNPCC7942_0476		460552	460962	SYNPCC7942_0476-MONOMER		
G-17865				MONOMER-18366		
G-6406				MONOMER-8429		
G-2546				MONOMER-3467		
G-12252				MONOMER-15937		
G-9390				MONOMER-12138		
G-12684	"Cthe_0269"			MONOMER-16413		
G-34608				MONOMER-18899		
AT2G47730				AT2G47730-MONOMER		
AT5G54160				AT5G54160-MONOMER		
G-9931				MONOMER-13041		
G-43916				MONOMER-19197		
G-10814				MONOMER-14151		
HS01050	"CGI-82"	61937168	61956133	HS01050-MONOMER		
G-14769				MONOMER-16949		
G-15189				MONOMER-17414		
G-10342				MONOMER-13571		
G-44295				MONOMER-19593		
G-15955	"TM_0433"			MONOMER-17962		
G-11260				MONOMER-14757		
G-44710				MONOMER-20010		
G-11791				MONOMER-15393		
PLZOG1				PLZOG1-MONOMER		
G-17846				MONOMER-18346		
G-6083				MONOMER-7725		
G-247				LUXAVIBFI-MONOMER		
G-12235	"MA_2304"			MONOMER-15918		
G-9342		3461380	3462273	MONOMER-12067		
G-12666				MONOMER-16389		
G-34577				MONOMER-18869		
AT2G43750				AT2G43750-MONOMER		
AT5G48840				AT5G48840-MONOMER		
G-9912		762340	763548	MONOMER-13008		
G-43899				MONOMER-19179		
G-10796				MONOMER-14125		
HS00895		1045840	1050105	HS00895-MONOMER		
G-14751				MONOMER-16932		
G-15169				MONOMER-17390		
G-10326				MONOMER-13555		
G-44279				MONOMER-19577		
G-11244				MONOMER-14689		
G-44694				MONOMER-19994		
G-11773				MONOMER-15370		
G-15942	"TM_0412"			MONOMER-17949		
G-17829				MONOMER-18328		
G-5961				MONOMER-7921		
G-12217	"Reut_C6091"			MONOMER-15898		
G-9307				MONOMER-12013		
G-240				HADTHAUERA-MONOMER		
G-12650				MONOMER-16380		
G-34561				MONOMER-18853		
AT2G36800				AT2G36800-MONOMER		
AT5G42650				MONOMER-1582		
G-9895				MONOMER-12932		
G-43883				MONOMER-19158		
G-10774				MONOMER-14099		
HS00629		74213872	74249978	MONOMER-15817 // MONOMER-15816 // HS00629-MONOMER		
G-14733	"RHA1_ro04534"			MONOMER-16914		
G-15153				MONOMER-17374		
G-103	"CA_C1743"			ACKCLOS-MONOMER		
G-44262				MONOMER-19560		
G-11223				MONOMER-14664		
G-44678	"SAOUHSC_00227"			MONOMER-19978		
G-11740				MONOMER-15337		
G-15921				MONOMER-17926		
G-17813	"Saci_0751"			MONOMER-18312		
G-5682				MONOMER-7441		
G-122				MONOMER-982		
G-9254				MONOMER-11935		
G-2301				MONOMER-3203		
G-12625				MONOMER-16356		
G-34545	"SMWW4_v1c11000"			MONOMER-18837		
AT2G33070	"At2g33070"			AT2G33070-MONOMER		
AT5G35630				AT5G35630-MONOMER		
G-9864				MONOMER-12867		
G-10753				MONOMER-14078		
G-14699		1059719	1060855	MONOMER-16875		
G-43869				MONOMER-19141		
G-15133		900058	900930	MONOMER-17350		
G-10279				MONOMER-13498		
G-44245				MONOMER-12298		
G-112				MONOMER-1082		
G-44662	"BSUW23_17560"			MONOMER-19962		
G-11722	"PA2424"			MONOMER-15310		
G-15550	"SO_4620"			MONOMER-17916		
G-17793				MONOMER-18289		
G-55162	"AN8677"			MONOMER-20277		
G-12184				MONOMER-15861		
G-9234				MONOMER-11898		
G-2261				MONOMER-3165		
G-12608	"AE008691"			MONOMER-16339		
G-34529				MONOMER-18821		
AT2G27760				AT2G27760-MONOMER		
AT5G23320				AT5G23320-MONOMER		
G-9831				MONOMER-12822		
G-10736				MONOMER-14049		
G-14671	"SAV2998"			MONOMER-16846		
G-43853				MONOMER-19120		
G-15111				MONOMER-17326		
G-10257				MONOMER-13470		
G-44224				MONOMER-19520		
G-11178				MONOMER-14611		
G-11706				MONOMER-15294		
G-15530	"CG5452"			MONOMER-17889		
G-44643	"SRIM_10931"			MONOMER-19944		
G-17774				MONOMER-18270		
G-55143				MONOMER-20257		
G-12166				MONOMER-15840		
G-2201				MONOMER-3093		
G-12588				MONOMER-16319		
G-9208				MONOMER-11848		
G-34511				MONOMER-18803		
AT2G23250				AT2G23250-MONOMER		
AT5G17050	"At5g17050"			AT5G17050-MONOMER		
G-9814				MONOMER-12802		
G-10715				MONOMER-14027		
G-14651				MONOMER-16820		
G-43837				MONOMER-19104		
